molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3678540,active,6.048176964684088,O=C(c1nn(-c2ccc(Cl)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,443.91200000000026,2.952400000000001,0.0,5.0
CHEMBL3678539,active,6.428291168191312,O=C(c1nn(-c2ccc(F)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,427.4570000000002,2.4381000000000004,0.0,5.0
CHEMBL3678534,active,6.173925197299173,O=C(c1nn(-c2ccc3c(c2)OCCO3)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,467.5030000000002,2.0702,0.0,7.0
CHEMBL3678642,active,6.11690664142431,O=C(c1nn(-c2cccc(-c3ccccc3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,485.56500000000034,3.966000000000003,0.0,5.0
CHEMBL3678683,active,6.552841968657781,O=C(c1nn(-c2cccc(-c3cccnc3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,486.55300000000034,3.3610000000000015,0.0,6.0
CHEMBL3678672,active,6.714442690992226,O=C(c1nn(-c2cccc(-c3ccncc3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,486.55300000000034,3.3610000000000015,0.0,6.0
CHEMBL3678682,active,6.083019952679618,O=C(c1nn(-c2cccc(-c3ccoc3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,475.5260000000003,3.559000000000002,0.0,6.0
CHEMBL3678673,active,6.471083299722345,O=C(c1nn(-c2cccc(-c3cnn(CCN4CCOCC4)c3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,588.6899999999999,2.494700000000001,0.0,8.0
CHEMBL3678536,active,6.210419287835575,O=C(c1nn(-c2cccc(Br)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,488.36300000000034,3.0615000000000014,0.0,5.0
CHEMBL3683511,active,6.191789027075778,O=C(c1nn(-c2cccc(CN3CC(F)(F)C3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,514.5540000000002,2.749900000000001,0.0,6.0
CHEMBL3683510,active,6.251811972993799,O=C(c1nn(-c2cccc(CN3CCC(F)(F)CC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,542.6080000000001,3.5301000000000027,0.0,6.0
CHEMBL3683492,active,6.359518563029578,O=C(c1nn(-c2cccc(CN3CCC(F)CC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,524.6180000000003,3.2329000000000017,0.0,6.0
CHEMBL3678721,active,6.24184537803261,O=C(c1nn(-c2cccc(CN3CCC(O)CC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,522.6270000000003,2.2557,1.0,7.0
CHEMBL3683495,active,6.287350298372789,O=C(c1nn(-c2cccc(CN3CCCC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,492.6010000000003,2.894800000000001,0.0,6.0
CHEMBL3678663,active,6.404503778174426,O=C(c1nn(-c2cccc(CN3CCCCC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,506.62800000000027,3.284900000000002,0.0,6.0
CHEMBL3683497,active,6.1944991418416,O=C(c1nn(-c2cccc(CN3CCS(=O)(=O)CC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,556.6660000000002,1.5293999999999994,0.0,8.0
CHEMBL3678720,active,6.634512015109101,O=C(c1nn(-c2cccc(CN3CCSCC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,524.6680000000002,2.847800000000001,0.0,7.0
CHEMBL3678537,active,6.356547323513812,O=C(c1nn(-c2cccc(Cl)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,443.91200000000026,2.952400000000001,0.0,5.0
CHEMBL3683542,active,6.311580177997289,O=C(c1nn(-c2cccc(Cn3cccn3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,489.55700000000036,2.543800000000001,0.0,6.0
CHEMBL3683541,active,6.171984935776023,O=C(c1nn(-c2cccc(Cn3ccnc3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,489.55700000000036,2.543800000000001,0.0,6.0
CHEMBL3678661,active,6.131355561605174,O=C(c1nn(-c2cccc(F)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,427.4570000000002,2.4381000000000004,0.0,5.0
CHEMBL3678639,active,6.171984935776023,O=C(c1nn(-c2cccc(N3CCOCC3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,494.57300000000026,2.1356,0.0,7.0
CHEMBL3683576,active,6.351639989019068,O=C(c1nn(-c2cccc(OCCn3cccn3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,519.5830000000003,2.5745000000000005,0.0,7.0
CHEMBL3683592,active,6.747146969020107,O=C(c1nn(-c2cccc(OCCn3ccnc3)c2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,519.5830000000003,2.5745000000000005,0.0,7.0
CHEMBL3683567,inactive,4.747632485540101,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1c(-c3ccccc3)cccc1-2)N1CCOCC1,485.5650000000003,3.966000000000003,0.0,5.0
CHEMBL3678529,active,6.306273051076353,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1c(Br)cccc1-2)N1CCOCC1,488.3630000000002,3.0615000000000014,0.0,5.0
CHEMBL3678526,active,6.372634143407267,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,427.4570000000002,2.4381000000000004,0.0,5.0
CHEMBL3678608,active,6.043831569524636,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1cc(Br)ccc1-2)N1CCOCC1,488.3630000000002,3.0615000000000014,0.0,5.0
CHEMBL3678528,active,6.005682847330363,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1ccc(F)cc1-2)N1CCOCC1,427.4570000000002,2.4381000000000004,0.0,5.0
CHEMBL3678544,active,6.61261017366127,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,409.4670000000002,2.2990000000000004,0.0,5.0
CHEMBL3678690,active,6.191789027075778,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1ccsc1-2)N1CCOCC1,415.4960000000002,2.3605,0.0,6.0
CHEMBL3678617,active,6.275724130399211,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1ncccc1-2)N1CCOCC1,410.4550000000002,1.6940000000000002,0.0,6.0
CHEMBL3683698,active,6.321481620959886,O=C(c1nn(-c2ccccc2)c2c1CS(=O)(=O)c1nccn1-2)N1CCOCC1,399.4320000000002,0.8177000000000001,0.0,6.0
CHEMBL3678700,active,6.0400051616715835,O=C(c1nn(C2CCC(CN3CCOCC3)CC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,514.6480000000003,2.3733000000000004,0.0,7.0
CHEMBL3678655,active,6.413412695328245,O=C(c1nn(C2CCC(F)(F)CC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,451.49500000000023,3.060200000000002,0.0,5.0
